Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
0,-1.000000,-2.000000,1.365405,1.365405,0.000000,0.000000
1,-1.000000,-1.900000,1.178352,1.170048,-0.008304,0.007047
2,-1.000000,-1.800000,1.055116,1.045530,-0.009586,0.009085
3,-1.000000,-1.700000,1.005268,1.006135,0.000867,0.000862
4,-1.000000,-1.600000,1.032680,1.018805,-0.013876,0.013436
5,-1.000000,-1.500000,1.135224,1.121254,-0.013969,0.012305
6,-1.000000,-1.400000,1.304933,1.295597,-0.009337,0.007155
7,-1.000000,-1.300000,1.528628,1.517212,-0.011416,0.007468
8,-1.000000,-1.200000,1.788934,1.767539,-0.021395,0.011960
9,-1.000000,-1.100000,2.065633,2.034815,-0.030818,0.014919
10,-1.000000,-1.000000,2.337235,2.323786,-0.013449,0.005754
11,-1.000000,-0.900000,2.582643,2.555137,-0.027506,0.010650
12,-1.000000,-0.800000,2.782799,2.761287,-0.021512,0.007730
13,-1.000000,-0.700000,2.922155,2.902788,-0.019367,0.006628
14,-1.000000,-0.600000,2.989888,2.971018,-0.018870,0.006311
15,-1.000000,-0.500000,2.980737,2.945685,-0.035053,0.011760
16,-1.000000,-0.400000,2.895414,2.851330,-0.044083,0.015225
17,-1.000000,-0.300000,2.740544,2.679143,-0.061400,0.022404
18,-1.000000,-0.200000,2.528157,2.469232,-0.058925,0.023307
19,-1.000000,-0.100000,2.274748,2.041255,-0.233493,0.102646
20,-1.000000,0.000000,2.000000,1.970498,-0.029502,0.014751
21,-1.000000,0.100000,1.725252,1.670161,-0.055091,0.031932
22,-1.000000,0.200000,1.471843,1.415822,-0.056021,0.038062
23,-1.000000,0.300000,1.259456,1.208416,-0.051040,0.040526
24,-1.000000,0.400000,1.104586,1.048899,-0.055687,0.050415
25,-1.000000,0.500000,1.019263,0.970910,-0.048353,0.047439
26,-1.000000,0.600000,1.010112,0.832413,-0.177699,0.175920
27,-1.000000,0.700000,1.077845,1.030250,-0.047595,0.044158
28,-1.000000,0.800000,1.217201,1.168532,-0.048669,0.039984
29,-1.000000,0.900000,1.417357,1.369252,-0.048105,0.033940
30,-1.000000,1.000000,1.662765,1.621043,-0.041722,0.025092
31,-1.000000,1.100000,1.934367,1.918695,-0.015672,0.008102
32,-1.000000,1.200000,2.211066,2.185923,-0.025143,0.011371
33,-1.000000,1.300000,2.471372,2.422155,-0.049217,0.019915
34,-1.000000,1.400000,2.695067,2.679168,-0.015899,0.005899
35,-1.000000,1.500000,2.864776,2.862141,-0.002635,0.000920
36,-1.000000,1.600000,2.967320,2.945326,-0.021993,0.007412
37,-1.000000,1.700000,2.994732,2.985357,-0.009375,0.003130
38,-1.000000,1.800000,2.944884,2.943833,-0.001051,0.000357
39,-1.000000,1.900000,2.821648,2.820959,-0.000689,0.000244
40,-1.000000,2.000000,2.634595,2.634595,0.000000,0.000000
41,0.000000,-2.000000,2.000000,2.000000,0.000000,0.000000
42,0.000000,-1.900000,2.000000,1.997440,-0.002560,0.001280
43,0.000000,-1.800000,2.000000,2.003942,0.003942,0.001971
44,0.000000,-1.700000,2.000000,1.979744,-0.020256,0.010128
45,0.000000,-1.600000,2.000000,1.990277,-0.009723,0.004862
46,0.000000,-1.500000,2.000000,1.986839,-0.013161,0.006580
47,0.000000,-1.400000,2.000000,1.985542,-0.014458,0.007229
48,0.000000,-1.300000,2.000000,1.983810,-0.016190,0.008095
49,0.000000,-1.200000,2.000000,1.975113,-0.024887,0.012444
50,0.000000,-1.100000,2.000000,1.975367,-0.024633,0.012316
51,0.000000,-1.000000,2.000000,1.964475,-0.035525,0.017763
52,0.000000,-0.900000,2.000000,1.966758,-0.033242,0.016621
53,0.000000,-0.800000,2.000000,1.975416,-0.024584,0.012292
54,0.000000,-0.700000,2.000000,1.955011,-0.044989,0.022494
55,0.000000,-0.600000,2.000000,1.969454,-0.030546,0.015273
56,0.000000,-0.500000,2.000000,1.979733,-0.020267,0.010134
