Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
0,-1.000000,-2.000000,1.365405,1.365405,0.000000,0.000000
1,-1.000000,-1.900000,1.178352,1.176948,-0.001404,0.001192
2,-1.000000,-1.800000,1.055116,1.051601,-0.003515,0.003331
3,-1.000000,-1.700000,1.005268,1.000917,-0.004351,0.004328
4,-1.000000,-1.600000,1.032680,1.027288,-0.005392,0.005222
5,-1.000000,-1.500000,1.135224,1.129169,-0.006054,0.005333
6,-1.000000,-1.400000,1.304933,1.297691,-0.007242,0.005550
7,-1.000000,-1.300000,1.528628,1.521118,-0.007509,0.004913
8,-1.000000,-1.200000,1.788934,1.779407,-0.009527,0.005325
9,-1.000000,-1.100000,2.065633,2.056379,-0.009254,0.004480
10,-1.000000,-1.000000,2.337235,2.329722,-0.007512,0.003214
11,-1.000000,-0.900000,2.582643,2.572203,-0.010441,0.004043
12,-1.000000,-0.800000,2.782799,2.770396,-0.012403,0.004457
13,-1.000000,-0.700000,2.922155,2.909212,-0.012943,0.004429
14,-1.000000,-0.600000,2.989888,2.976226,-0.013662,0.004569
15,-1.000000,-0.500000,2.980737,2.968528,-0.012209,0.004096
16,-1.000000,-0.400000,2.895414,2.882795,-0.012619,0.004358
17,-1.000000,-0.300000,2.740544,2.727957,-0.012587,0.004593
18,-1.000000,-0.200000,2.528157,2.515783,-0.012373,0.004894
19,-1.000000,-0.100000,2.274748,2.262261,-0.012487,0.005489
20,-1.000000,0.000000,2.000000,1.989887,-0.010113,0.005057
21,-1.000000,0.100000,1.725252,1.713887,-0.011365,0.006587
22,-1.000000,0.200000,1.471843,1.459237,-0.012607,0.008565
23,-1.000000,0.300000,1.259456,1.247690,-0.011766,0.009342
24,-1.000000,0.400000,1.104586,1.090963,-0.013623,0.012333
25,-1.000000,0.500000,1.019263,1.008740,-0.010522,0.010323
26,-1.000000,0.600000,1.010112,0.999618,-0.010494,0.010389
27,-1.000000,0.700000,1.077845,1.069413,-0.008432,0.007823
28,-1.000000,0.800000,1.217201,1.208300,-0.008902,0.007313
29,-1.000000,0.900000,1.417357,1.410378,-0.006978,0.004923
30,-1.000000,1.000000,1.662765,1.655653,-0.007112,0.004277
31,-1.000000,1.100000,1.934367,1.929569,-0.004798,0.002480
