Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
0,-1.000000,-2.000000,1.365405,1.365405,0.000000,0.000000
1,-1.000000,-1.900000,1.178352,1.176989,-0.001363,0.001157
2,-1.000000,-1.800000,1.055116,1.051584,-0.003532,0.003348
3,-1.000000,-1.700000,1.005268,1.001227,-0.004041,0.004020
4,-1.000000,-1.600000,1.032680,1.027807,-0.004874,0.004720
5,-1.000000,-1.500000,1.135224,1.129134,-0.006089,0.005364
6,-1.000000,-1.400000,1.304933,1.298130,-0.006803,0.005213
7,-1.000000,-1.300000,1.528628,1.520084,-0.008544,0.005589
8,-1.000000,-1.200000,1.788934,1.779335,-0.009599,0.005366
9,-1.000000,-1.100000,2.065633,2.056092,-0.009541,0.004619
10,-1.000000,-1.000000,2.337235,2.329620,-0.007614,0.003258
11,-1.000000,-0.900000,2.582643,2.572159,-0.010484,0.004059
12,-1.000000,-0.800000,2.782799,2.770308,-0.012491,0.004489
13,-1.000000,-0.700000,2.922155,2.909058,-0.013097,0.004482
14,-1.000000,-0.600000,2.989888,2.976119,-0.013769,0.004605
15,-1.000000,-0.500000,2.980737,2.968417,-0.012321,0.004133
16,-1.000000,-0.400000,2.895414,2.882662,-0.012751,0.004404
17,-1.000000,-0.300000,2.740544,2.727851,-0.012693,0.004632
18,-1.000000,-0.200000,2.528157,2.515307,-0.012850,0.005083
19,-1.000000,-0.100000,2.274748,2.262131,-0.012617,0.005547
20,-1.000000,0.000000,2.000000,1.989631,-0.010369,0.005184
21,-1.000000,0.100000,1.725252,1.713727,-0.011525,0.006680
22,-1.000000,0.200000,1.471843,1.458880,-0.012963,0.008808
23,-1.000000,0.300000,1.259456,1.247466,-0.011990,0.009520
24,-1.000000,0.400000,1.104586,1.090568,-0.014019,0.012691
25,-1.000000,0.500000,1.019263,1.008494,-0.010768,0.010565
26,-1.000000,0.600000,1.010112,0.999145,-0.010967,0.010858
27,-1.000000,0.700000,1.077845,1.069156,-0.008689,0.008061
28,-1.000000,0.800000,1.217201,1.208110,-0.009091,0.007469
29,-1.000000,0.900000,1.417357,1.410312,-0.007045,0.004970
30,-1.000000,1.000000,1.662765,1.655530,-0.007235,0.004351
31,-1.000000,1.100000,1.934367,1.929465,-0.004902,0.002534
32,-1.000000,1.200000,2.211066,2.206752,-0.004314,0.001951
33,-1.000000,1.300000,2.471372,2.466883,-0.004489,0.001817
34,-1.000000,1.400000,2.695067,2.689851,-0.005216,0.001936
35,-1.000000,1.500000,2.864776,2.861393,-0.003383,0.001181
36,-1.000000,1.600000,2.967320,2.964694,-0.002625,0.000885
37,-1.000000,1.700000,2.994732,2.992806,-0.001926,0.000643
38,-1.000000,1.800000,2.944884,2.942672,-0.002212,0.000751
